Order ID,Product Name,SKU,Quantity,Product Price,Shipping Fee Paid by Customer,Actual Shipping Fee Charged by Platform,Platform Commission Fee,Voucher Discount,Payout Amount,Status
ORD-2026-0001,Noise Cancelling Headphones,HDP-008,1,129.99,3.7,3.7,6.5,10,117.19,Completed
ORD-2026-0002,Portable Power Bank 20000mAh,PWR-007,3,119.97,6.3,6.3,6,0,120.27,Completed
ORD-2026-0003,Premium Wireless Earbuds,EAR-001,1,59.99,7.3,7.3,3,0,64.29,Completed
ORD-2026-0004,Fast Charging Cable Type-C,CAB-005,1,19.99,12.9,12.9,1,0,31.89,Completed
ORD-2026-0005,Waterproof Sports Smartwatch,WTC-006,2,159.98,12.9,12.9,8,0,164.88,Completed
ORD-2026-0006,Fast Charging Cable Type-C,CAB-005,1,19.99,9.6,9.6,1,0,28.59,Completed
ORD-2026-0007,Silicone Phone Case iPhone 15,CAS-009,2,29.98,9.2,9.2,1.5,0,37.68,Completed
ORD-2026-0008,Waterproof Sports Smartwatch,WTC-006,1,79.99,7.1,7.1,4,0,83.09,Completed
ORD-2026-0009,Adjustable Laptop Stand,STD-010,1,34.99,9.1,9.1,1.75,0,42.34,Completed
ORD-2026-0010,Premium Wireless Earbuds,EAR-001,1,59.99,4.9,4.9,15,0,49.89,Completed
ORD-2026-0011,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.3,8.3,2,0,46.29,Completed
ORD-2026-0012,Adjustable Laptop Stand,STD-010,1,34.99,10.5,10.5,1.75,5,38.74,Completed
ORD-2026-0013,Portable Power Bank 20000mAh,PWR-007,2,79.98,10.9,10.9,4,10,76.88,Completed
ORD-2026-0014,Mechanical Gaming Keyboard,KEY-003,2,179.98,3.8,3.8,9,0,174.78,Completed
ORD-2026-0015,Silicone Phone Case iPhone 15,CAS-009,1,14.99,12.4,12.4,0.75,10,16.64,Completed
ORD-2026-0016,Portable Power Bank 20000mAh,PWR-007,1,39.99,4.4,4.4,2,10,32.39,Completed
ORD-2026-0017,Premium Wireless Earbuds,EAR-001,1,59.99,4.1,4.1,3,0,61.09,Completed
ORD-2026-0018,Ultra-Wide USB-C Monitor,MON-004,1,299.99,7.9,7.9,15,0,292.89,Completed
ORD-2026-0019,Fast Charging Cable Type-C,CAB-005,1,19.99,9.7,9.7,1,0,28.69,Completed
ORD-2026-0020,Portable Power Bank 20000mAh,PWR-007,1,39.99,12.8,12.8,2,0,50.79,Completed
ORD-2026-0021,Adjustable Laptop Stand,STD-010,1,34.99,9,9,1.75,0,42.24,Completed
ORD-2026-0022,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.9,12.9,4.5,0,98.39,Completed
ORD-2026-0023,Premium Wireless Earbuds,EAR-001,1,59.99,4.4,4.4,3,5,56.39,Completed
ORD-2026-0024,Fast Charging Cable Type-C,CAB-005,1,19.99,8.7,8.7,1,0,27.69,Completed
ORD-2026-0025,Ergonomic Office Chair,CHR-002,1,149.99,11,22.05,7.5,5,148.49,Completed
ORD-2026-0026,Noise Cancelling Headphones,HDP-008,1,129.99,3.6,3.6,6.5,10,117.09,Completed
ORD-2026-0027,Silicone Phone Case iPhone 15,CAS-009,1,14.99,10.7,19.64,0.75,0,24.94,Completed
ORD-2026-0028,Waterproof Sports Smartwatch,WTC-006,1,79.99,9.1,22.35,4,10,75.09,Completed
ORD-2026-0029,Silicone Phone Case iPhone 15,CAS-009,1,14.99,5.4,5.4,0.75,10,9.64,Completed
ORD-2026-0030,Adjustable Laptop Stand,STD-010,1,34.99,3.9,3.9,1.75,0,37.14,Completed
ORD-2026-0031,Ultra-Wide USB-C Monitor,MON-004,1,299.99,10.7,10.7,15,0,295.69,Completed
ORD-2026-0032,Portable Power Bank 20000mAh,PWR-007,1,39.99,11.5,11.5,2,0,49.49,Completed
ORD-2026-0033,Adjustable Laptop Stand,STD-010,1,34.99,3.6,3.6,1.75,0,36.84,Completed
ORD-2026-0034,Ergonomic Office Chair,CHR-002,1,149.99,5.3,5.3,7.5,0,147.79,Completed
ORD-2026-0035,Waterproof Sports Smartwatch,WTC-006,1,79.99,10.1,10.1,4,0,86.09,Completed
ORD-2026-0036,Premium Wireless Earbuds,EAR-001,1,59.99,3.5,3.5,3,0,60.49,Completed
ORD-2026-0037,Noise Cancelling Headphones,HDP-008,1,129.99,10.1,10.1,6.5,0,133.59,Completed
ORD-2026-0038,Ergonomic Office Chair,CHR-002,1,149.99,3.7,3.7,7.5,10,136.19,Completed
ORD-2026-0039,Noise Cancelling Headphones,HDP-008,1,129.99,12.8,12.8,6.5,10,126.29,Completed
ORD-2026-0040,Ergonomic Office Chair,CHR-002,1,149.99,4.6,10.72,7.5,0,147.09,Completed
ORD-2026-0041,Fast Charging Cable Type-C,CAB-005,1,19.99,11.9,11.9,1,0,30.89,Completed
ORD-2026-0042,Mechanical Gaming Keyboard,KEY-003,1,89.99,11.4,11.4,4.5,0,96.89,Completed
ORD-2026-0043,Noise Cancelling Headphones,HDP-008,1,129.99,12.9,12.9,6.5,0,136.39,Completed
ORD-2026-0044,Waterproof Sports Smartwatch,WTC-006,1,79.99,3.6,3.6,4,0,79.59,Completed
ORD-2026-0045,Fast Charging Cable Type-C,CAB-005,1,19.99,9.8,9.8,1,0,28.79,Completed
ORD-2026-0046,Adjustable Laptop Stand,STD-010,1,34.99,5.2,5.2,1.75,0,38.44,Completed
ORD-2026-0047,Noise Cancelling Headphones,HDP-008,1,129.99,5.1,5.1,6.5,0,128.59,Completed
ORD-2026-0048,Portable Power Bank 20000mAh,PWR-007,1,39.99,10.9,10.9,2,5,43.89,Completed
ORD-2026-0049,Silicone Phone Case iPhone 15,CAS-009,1,14.99,6.8,6.8,0.75,0,21.04,Completed
ORD-2026-0050,Ultra-Wide USB-C Monitor,MON-004,1,299.99,8.7,8.7,15,0,293.69,Completed
ORD-2026-0051,Ergonomic Office Chair,CHR-002,1,149.99,11.3,25.29,7.5,5,148.79,Completed
ORD-2026-0052,Noise Cancelling Headphones,HDP-008,1,129.99,8.3,8.3,6.5,0,131.79,Completed
ORD-2026-0053,Portable Power Bank 20000mAh,PWR-007,3,119.97,9.7,9.7,6,5,118.67,Completed
ORD-2026-0054,Silicone Phone Case iPhone 15,CAS-009,1,14.99,12.6,12.6,0.75,5,21.84,Completed
ORD-2026-0055,Noise Cancelling Headphones,HDP-008,1,129.99,8.8,8.8,6.5,0,132.29,Completed
ORD-2026-0056,Ultra-Wide USB-C Monitor,MON-004,2,599.98,10.6,10.6,30,0,580.58,Completed
ORD-2026-0057,Ergonomic Office Chair,CHR-002,1,149.99,3.1,3.1,7.5,0,145.59,Completed
ORD-2026-0058,Noise Cancelling Headphones,HDP-008,1,129.99,10.5,10.5,6.5,0,133.99,Completed
ORD-2026-0059,Silicone Phone Case iPhone 15,CAS-009,1,14.99,4.7,4.7,0.75,0,18.94,Completed
ORD-2026-0060,Noise Cancelling Headphones,HDP-008,1,129.99,9,9,6.5,0,132.49,Completed
ORD-2026-0061,Mechanical Gaming Keyboard,KEY-003,1,89.99,3.5,3.5,4.5,0,88.99,Completed
ORD-2026-0062,Adjustable Laptop Stand,STD-010,1,34.99,6.1,6.1,1.75,0,39.34,Completed
ORD-2026-0063,Portable Power Bank 20000mAh,PWR-007,1,39.99,5.2,5.2,2,0,43.19,Completed
ORD-2026-0064,Ultra-Wide USB-C Monitor,MON-004,1,299.99,11.5,11.5,15,0,296.49,Completed
ORD-2026-0065,Premium Wireless Earbuds,EAR-001,1,59.99,8.9,8.9,3,10,55.89,Completed
ORD-2026-0066,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.8,12.8,4.5,0,98.29,Completed
ORD-2026-0067,Fast Charging Cable Type-C,CAB-005,1,19.99,12.7,12.7,1,10,21.69,Completed
ORD-2026-0068,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.3,8.3,2,0,46.29,Completed
ORD-2026-0069,Noise Cancelling Headphones,HDP-008,1,129.99,10.5,10.5,6.5,0,133.99,Completed
ORD-2026-0070,Fast Charging Cable Type-C,CAB-005,1,19.99,3.8,3.8,1,0,22.79,Completed
ORD-2026-0071,Adjustable Laptop Stand,STD-010,1,34.99,11.8,11.8,1.75,0,45.04,Completed
ORD-2026-0072,Premium Wireless Earbuds,EAR-001,1,59.99,12.5,12.5,3,0,69.49,Completed
ORD-2026-0073,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.9,8.9,2,5,41.89,Completed
ORD-2026-0074,Adjustable Laptop Stand,STD-010,1,34.99,6.3,17.18,1.75,0,39.54,Completed
ORD-2026-0075,Silicone Phone Case iPhone 15,CAS-009,1,14.99,3.3,3.3,0.75,0,17.54,Completed
ORD-2026-0076,Adjustable Laptop Stand,STD-010,1,34.99,4.5,4.5,1.75,0,37.74,Completed
ORD-2026-0077,Ergonomic Office Chair,CHR-002,1,149.99,12.2,12.2,7.5,0,154.69,Completed
ORD-2026-0078,Fast Charging Cable Type-C,CAB-005,1,19.99,9.4,9.4,1,0,28.39,Completed
ORD-2026-0079,Noise Cancelling Headphones,HDP-008,1,129.99,10.3,10.3,6.5,0,133.79,Completed
ORD-2026-0080,Portable Power Bank 20000mAh,PWR-007,1,39.99,3.8,3.8,2,0,41.79,Completed
ORD-2026-0081,Ultra-Wide USB-C Monitor,MON-004,3,899.97,3.1,3.1,45,0,858.07,Completed
ORD-2026-0082,Premium Wireless Earbuds,EAR-001,1,59.99,9.8,9.8,3,0,66.79,Completed
ORD-2026-0083,Noise Cancelling Headphones,HDP-008,1,129.99,12.8,25.55,6.5,10,126.29,Completed
ORD-2026-0084,Portable Power Bank 20000mAh,PWR-007,1,39.99,5.5,5.5,2,0,43.49,Completed
ORD-2026-0085,Fast Charging Cable Type-C,CAB-005,1,19.99,8.2,8.2,1,0,27.19,Completed
ORD-2026-0086,Mechanical Gaming Keyboard,KEY-003,1,89.99,4.2,4.2,4.5,0,89.69,Completed
ORD-2026-0087,Ergonomic Office Chair,CHR-002,2,299.98,12.5,12.5,15,10,287.48,Completed
ORD-2026-0088,Waterproof Sports Smartwatch,WTC-006,1,79.99,3.9,3.9,4,0,79.89,Completed
ORD-2026-0089,Silicone Phone Case iPhone 15,CAS-009,1,14.99,10,10,0.75,10,14.24,Completed
ORD-2026-0090,Waterproof Sports Smartwatch,WTC-006,1,79.99,6.4,6.4,4,0,82.39,Completed
ORD-2026-0091,Portable Power Bank 20000mAh,PWR-007,1,39.99,12.3,12.3,2,0,50.29,Completed
ORD-2026-0092,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.1,12.1,4.5,0,97.59,Completed
ORD-2026-0093,Fast Charging Cable Type-C,CAB-005,1,19.99,4.9,4.9,1,0,23.89,Completed
ORD-2026-0094,Ergonomic Office Chair,CHR-002,1,149.99,7.2,14.23,7.5,5,144.69,Completed
ORD-2026-0095,Fast Charging Cable Type-C,CAB-005,1,19.99,11.5,11.5,1,0,30.49,Completed
ORD-2026-0096,Fast Charging Cable Type-C,CAB-005,1,19.99,4.2,4.2,1,10,13.19,Completed
ORD-2026-0097,Fast Charging Cable Type-C,CAB-005,1,19.99,10.8,10.8,1,0,29.79,Completed
ORD-2026-0098,Ultra-Wide USB-C Monitor,MON-004,1,299.99,12.3,24.71,15,0,297.29,Completed
ORD-2026-0099,Waterproof Sports Smartwatch,WTC-006,1,79.99,10.9,10.9,4,10,76.89,Completed
ORD-2026-0100,Noise Cancelling Headphones,HDP-008,1,129.99,11.6,11.6,6.5,0,135.09,Completed
ORD-2026-0101,Waterproof Sports Smartwatch,WTC-006,1,79.99,12.6,12.6,4,0,88.59,Completed
ORD-2026-0102,Waterproof Sports Smartwatch,WTC-006,1,79.99,11.1,11.1,4,0,87.09,Completed
ORD-2026-0103,Fast Charging Cable Type-C,CAB-005,1,19.99,10.2,19.63,1,0,29.19,Completed
ORD-2026-0104,Adjustable Laptop Stand,STD-010,1,34.99,3.8,3.8,1.75,5,32.04,Completed
ORD-2026-0105,Portable Power Bank 20000mAh,PWR-007,1,39.99,10.6,16.83,2,0,48.59,Completed
ORD-2026-0106,Waterproof Sports Smartwatch,WTC-006,1,79.99,4.9,4.9,4,0,80.89,Completed
ORD-2026-0107,Adjustable Laptop Stand,STD-010,1,34.99,13,13,1.75,0,46.24,Completed
ORD-2026-0108,Adjustable Laptop Stand,STD-010,1,34.99,9.8,9.8,1.75,0,43.04,Completed
ORD-2026-0109,Adjustable Laptop Stand,STD-010,1,34.99,3.5,3.5,1.75,0,36.74,Completed
ORD-2026-0110,Fast Charging Cable Type-C,CAB-005,1,19.99,3.1,3.1,1,5,17.09,Completed
ORD-2026-0111,Ultra-Wide USB-C Monitor,MON-004,2,599.98,8,8,30,0,577.98,Completed
ORD-2026-0112,Ergonomic Office Chair,CHR-002,3,449.97,3.1,17.39,22.5,5,425.57,Completed
ORD-2026-0113,Waterproof Sports Smartwatch,WTC-006,1,79.99,3.2,3.2,4,10,69.19,Completed
ORD-2026-0114,Noise Cancelling Headphones,HDP-008,1,129.99,4.8,4.8,6.5,0,128.29,Completed
ORD-2026-0115,Fast Charging Cable Type-C,CAB-005,1,19.99,7.8,7.8,1,0,26.79,Completed
ORD-2026-0116,Mechanical Gaming Keyboard,KEY-003,1,89.99,11.3,11.3,4.5,0,96.79,Completed
ORD-2026-0117,Adjustable Laptop Stand,STD-010,1,34.99,5.3,5.3,1.75,0,38.54,Completed
ORD-2026-0118,Fast Charging Cable Type-C,CAB-005,1,19.99,9.8,9.8,1,0,28.79,Completed
ORD-2026-0119,Ultra-Wide USB-C Monitor,MON-004,2,599.98,9.3,9.3,30,0,579.28,Completed
ORD-2026-0120,Adjustable Laptop Stand,STD-010,1,34.99,3.5,3.5,1.75,5,31.74,Completed
ORD-2026-0121,Ergonomic Office Chair,CHR-002,1,149.99,10.8,10.8,7.5,10,143.29,Completed
ORD-2026-0122,Silicone Phone Case iPhone 15,CAS-009,1,14.99,12.2,24.36,0.75,0,26.44,Completed
ORD-2026-0123,Silicone Phone Case iPhone 15,CAS-009,1,14.99,6.2,6.2,0.75,0,20.44,Completed
ORD-2026-0124,Mechanical Gaming Keyboard,KEY-003,1,89.99,3.1,3.1,4.5,0,88.59,Completed
ORD-2026-0125,Silicone Phone Case iPhone 15,CAS-009,1,14.99,10,10,0.75,0,24.24,Completed
ORD-2026-0126,Portable Power Bank 20000mAh,PWR-007,1,39.99,3.6,3.6,2,5,36.59,Completed
ORD-2026-0127,Ultra-Wide USB-C Monitor,MON-004,1,299.99,4.8,4.8,15,10,279.79,Completed
ORD-2026-0128,Ergonomic Office Chair,CHR-002,1,149.99,3.8,3.8,7.5,0,146.29,Completed
ORD-2026-0129,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.7,12.7,4.5,0,98.19,Completed
ORD-2026-0130,Ultra-Wide USB-C Monitor,MON-004,1,299.99,5.7,5.7,15,0,290.69,Completed
ORD-2026-0131,Waterproof Sports Smartwatch,WTC-006,1,79.99,10.2,10.2,4,0,86.19,Completed
ORD-2026-0132,Adjustable Laptop Stand,STD-010,1,34.99,11.6,11.6,1.75,0,44.84,Completed
ORD-2026-0133,Ergonomic Office Chair,CHR-002,1,149.99,12,22.82,7.5,0,154.49,Completed
ORD-2026-0134,Portable Power Bank 20000mAh,PWR-007,1,39.99,5.4,16.69,2,0,43.39,Completed
ORD-2026-0135,Ultra-Wide USB-C Monitor,MON-004,1,299.99,9.4,9.4,75,10,224.39,Completed
ORD-2026-0136,Adjustable Laptop Stand,STD-010,1,34.99,12.8,12.8,1.75,0,46.04,Completed
ORD-2026-0137,Waterproof Sports Smartwatch,WTC-006,1,79.99,8.8,8.8,4,0,84.79,Completed
ORD-2026-0138,Ergonomic Office Chair,CHR-002,1,149.99,4.2,4.2,7.5,0,146.69,Completed
ORD-2026-0139,Fast Charging Cable Type-C,CAB-005,1,19.99,12.8,12.8,1,0,31.79,Completed
ORD-2026-0140,Mechanical Gaming Keyboard,KEY-003,1,89.99,4.4,4.4,4.5,0,89.89,Completed
ORD-2026-0141,Adjustable Laptop Stand,STD-010,1,34.99,10.2,10.2,1.75,10,33.44,Completed
ORD-2026-0142,Waterproof Sports Smartwatch,WTC-006,1,79.99,12,12,4,0,87.99,Completed
ORD-2026-0143,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.9,8.9,2,0,46.89,Completed
ORD-2026-0144,Ergonomic Office Chair,CHR-002,1,149.99,3.8,3.8,7.5,0,146.29,Completed
ORD-2026-0145,Portable Power Bank 20000mAh,PWR-007,1,39.99,7.8,7.8,2,0,45.79,Completed
ORD-2026-0146,Adjustable Laptop Stand,STD-010,1,34.99,8.2,8.2,8.75,0,34.44,Completed
ORD-2026-0147,Waterproof Sports Smartwatch,WTC-006,1,79.99,10.8,10.8,4,0,86.79,Completed
ORD-2026-0148,Noise Cancelling Headphones,HDP-008,1,129.99,11.2,11.2,6.5,0,134.69,Completed
ORD-2026-0149,Premium Wireless Earbuds,EAR-001,1,59.99,8.6,8.6,3,0,65.59,Completed
ORD-2026-0150,Fast Charging Cable Type-C,CAB-005,1,19.99,12.9,12.9,1,10,21.89,Completed
ORD-2026-0151,Adjustable Laptop Stand,STD-010,1,34.99,11.6,11.6,1.75,0,44.84,Completed
ORD-2026-0152,Silicone Phone Case iPhone 15,CAS-009,1,14.99,3.2,3.2,0.75,0,17.44,Completed
ORD-2026-0153,Ultra-Wide USB-C Monitor,MON-004,1,299.99,8.5,8.5,15,10,283.49,Completed
ORD-2026-0154,Adjustable Laptop Stand,STD-010,1,34.99,7.3,7.3,1.75,0,40.54,Completed
ORD-2026-0155,Portable Power Bank 20000mAh,PWR-007,1,39.99,9.3,9.3,2,10,37.29,Completed
ORD-2026-0156,Ergonomic Office Chair,CHR-002,1,149.99,13,13,7.5,0,155.49,Completed
ORD-2026-0157,Portable Power Bank 20000mAh,PWR-007,1,39.99,6,21.31,2,0,43.99,Completed
ORD-2026-0158,Portable Power Bank 20000mAh,PWR-007,1,39.99,3.1,3.1,2,10,31.09,Completed
ORD-2026-0159,Noise Cancelling Headphones,HDP-008,1,129.99,4.1,4.1,6.5,0,127.59,Completed
ORD-2026-0160,Portable Power Bank 20000mAh,PWR-007,1,39.99,13,13,2,0,50.99,Completed
ORD-2026-0161,Mechanical Gaming Keyboard,KEY-003,1,89.99,3.3,3.3,4.5,0,88.79,Completed
ORD-2026-0162,Silicone Phone Case iPhone 15,CAS-009,1,14.99,9.2,9.2,0.75,0,23.44,Completed
ORD-2026-0163,Mechanical Gaming Keyboard,KEY-003,1,89.99,3.4,3.4,4.5,0,88.89,Completed
ORD-2026-0164,Fast Charging Cable Type-C,CAB-005,1,19.99,4.3,4.3,1,0,23.29,Completed
ORD-2026-0165,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.4,8.4,2,0,46.39,Completed
ORD-2026-0166,Silicone Phone Case iPhone 15,CAS-009,1,14.99,6.2,6.2,0.75,0,20.44,Completed
ORD-2026-0167,Ergonomic Office Chair,CHR-002,1,149.99,6.7,6.7,7.5,0,149.19,Completed
ORD-2026-0168,Ultra-Wide USB-C Monitor,MON-004,3,899.97,5.4,21.37,45,0,860.37,Completed
ORD-2026-0169,Fast Charging Cable Type-C,CAB-005,1,19.99,9.9,9.9,1,5,23.89,Completed
ORD-2026-0170,Ultra-Wide USB-C Monitor,MON-004,1,299.99,4.1,4.1,15,5,284.09,Completed
ORD-2026-0171,Adjustable Laptop Stand,STD-010,1,34.99,9.8,9.8,1.75,0,43.04,Completed
ORD-2026-0172,Ultra-Wide USB-C Monitor,MON-004,1,299.99,6.1,6.1,15,10,281.09,Completed
ORD-2026-0173,Fast Charging Cable Type-C,CAB-005,1,19.99,12.8,12.8,1,0,31.79,Completed
ORD-2026-0174,Noise Cancelling Headphones,HDP-008,1,129.99,9.2,9.2,6.5,0,132.69,Completed
ORD-2026-0175,Ultra-Wide USB-C Monitor,MON-004,1,299.99,4,15.14,15,0,288.99,Completed
ORD-2026-0176,Portable Power Bank 20000mAh,PWR-007,1,39.99,5,5,2,0,42.99,Completed
ORD-2026-0177,Premium Wireless Earbuds,EAR-001,1,59.99,5,5,3,0,61.99,Completed
ORD-2026-0178,Portable Power Bank 20000mAh,PWR-007,1,39.99,6.7,6.7,2,0,44.69,Completed
ORD-2026-0179,Fast Charging Cable Type-C,CAB-005,1,19.99,8.3,8.3,1,0,27.29,Completed
ORD-2026-0180,Mechanical Gaming Keyboard,KEY-003,1,89.99,13,13,4.5,0,98.49,Completed
ORD-2026-0181,Ultra-Wide USB-C Monitor,MON-004,1,299.99,12,12,15,10,286.99,Completed
ORD-2026-0182,Waterproof Sports Smartwatch,WTC-006,1,79.99,12.8,12.8,4,0,88.79,Completed
ORD-2026-0183,Ergonomic Office Chair,CHR-002,2,299.98,6,6,15,0,290.98,Completed
ORD-2026-0184,Silicone Phone Case iPhone 15,CAS-009,1,14.99,5,11.19,0.75,0,19.24,Completed
ORD-2026-0185,Premium Wireless Earbuds,EAR-001,1,59.99,3.1,3.1,3,0,60.09,Completed
ORD-2026-0186,Portable Power Bank 20000mAh,PWR-007,1,39.99,7.3,7.3,2,10,35.29,Completed
ORD-2026-0187,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.8,12.8,4.5,5,93.29,Completed
ORD-2026-0188,Premium Wireless Earbuds,EAR-001,1,59.99,12.1,12.1,3,0,69.09,Completed
ORD-2026-0189,Ergonomic Office Chair,CHR-002,1,149.99,10.9,10.9,7.5,0,153.39,Completed
ORD-2026-0190,Mechanical Gaming Keyboard,KEY-003,1,89.99,9.1,9.1,4.5,0,94.59,Completed
ORD-2026-0191,Ergonomic Office Chair,CHR-002,1,149.99,6.1,6.1,7.5,0,148.59,Completed
ORD-2026-0192,Noise Cancelling Headphones,HDP-008,1,129.99,6.3,6.3,6.5,0,129.79,Completed
ORD-2026-0193,Mechanical Gaming Keyboard,KEY-003,1,89.99,5,5,4.5,0,90.49,Completed
ORD-2026-0194,Portable Power Bank 20000mAh,PWR-007,1,39.99,9.8,21.48,2,0,47.79,Completed
ORD-2026-0195,Adjustable Laptop Stand,STD-010,1,34.99,10.8,10.8,1.75,0,44.04,Completed
ORD-2026-0196,Silicone Phone Case iPhone 15,CAS-009,1,14.99,9.7,24.83,0.75,0,23.94,Completed
ORD-2026-0197,Waterproof Sports Smartwatch,WTC-006,1,79.99,8.9,8.9,4,10,74.89,Completed
